,index,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
0,25,Pirates of the Caribbean: Dead Man’…,DEAD MAN'S,2006-07-07,2006,7,588764432,423315812,Adventure,Walt Disney,25,Won 1 Oscar. Another 43 wins & 53 nominations.,53,7.3,53%,PG-13,Gore Verbinski,151 min,USA
1,38,Star Wars: The Rise of Skywalker,THE RISE OF SKYWALKER,2019-12-20,2019,12,515202542,515202542,Adventure,Walt Disney,25,Nominated for 3 Oscars. Another 7 wins & 35 nominations.,53,6.7,51%,PG-13,J.J. Abrams,142 min,USA
2,57,Pirates of the Caribbean: The Curse o…,THE CURSE OF,2003-07-09,2003,7,461408382,305410819,Adventure,Walt Disney,25,Nominated for 5 Oscars. Another 38 wins & 99 nominations.,63,8.0,79%,PG-13,Gore Verbinski,143 min,USA
3,81,"The Chronicles of Narnia: The Lion, t…",THE CHRONICLES OF NARNIA,2005-12-09,2005,12,412335608,291710957,Adventure,Walt Disney,25,Won 1 Oscar. Another 17 wins & 46 nominations.,75,6.9,76%,PG,Andrew Adamson,143 min,"UK, USA"
4,84,Pirates of the Caribbean: At World’…,PIRATES OF THE CARIBBEAN AT WORLD'S END,2007-05-24,2007,5,409712211,309420425,Adventure,Walt Disney,25,Nominated for 2 Oscars. Another 20 wins & 44 nominations.,50,7.1,44%,PG-13,Gore Verbinski,169 min,USA
5,102,Harry Potter and the Order of the Pho…,HARRY POTTER AND THE ORDER OF THE PHOENIX,2007-07-11,2007,7,386651621,292137260,Adventure,Warner Bros.,25,Nominated for 2 BAFTA Film Awards. Another 14 wins & 40 nominations.,71,7.5,78%,PG-13,David Yates,138 min,"UK, USA"
6,112,3 Men and a Baby,THREE MEN AND A BABY,1987-11-25,1987,11,381836094,167780960,Comedy,Walt Disney,23,2 wins & 1 nomination.,61,6.0,75%,PG,Leonard Nimoy,102 min,"USA, France"
7,125,Mission: Impossible 2,MISSION IMPOSSIBLE II,2000-05-24,2000,5,364078672,215409889,Action,Paramount Pictures,24,12 wins & 20 nominations.,59,6.1,59/100,PG-13,John Woo,123 min,"USA, Germany"
8,156,Nine to Five,9 To 5,1980-12-19,1980,12,339231493,103290500,Comedy,20th Century Fox,22,Nominated for 1 Oscar. Another 3 wins & 6 nominations.,58,6.8,82%,PG,Colin Higgins,109 min,USA
9,172,X-Men 2,X-MEN,2003-05-02,2003,5,324741574,214949694,Action,20th Century Fox,25,Nominated for 1 Oscar. Another 16 wins & 47 nominations.,75,8.0,90%,PG-13,Bryan Singer,132 min,"USA, UK, Canada"
10,202,Men in Black 2,MEN IN BLACK,2002-07-03,2002,7,298574055,190418803,Action,Sony Pictures,25,Won 1 Oscar. Another 21 wins & 39 nominations.,71,7.3,92%,PG-13,Barry Sonnenfeld,98 min,USA
11,225,The Hobbit: The Battle of the Five Ar…,THE HOBBIT,2014-12-17,2014,12,283285507,255119788,Adventure,Warner Bros.,25,Nominated for 3 Oscars. Another 10 wins & 72 nominations.,58,7.8,64%,PG-13,Peter Jackson,169 min,"New Zealand, USA"
12,243,Dumb & Dumber,DUMB AND DUMBER,1994-12-16,1994,12,275554178,127175374,Comedy,New Line,23,5 wins & 3 nominations.,41,7.3,67%,PG-13,"Peter Farrelly, Bobby Farrelly",107 min,USA
13,258,Dr. Seuss’ The Grinch,THE GRINCH,2018-11-09,2018,11,270620950,270620950,Adventure,Universal,25,Won 1 Oscar. Another 17 wins & 37 nominations.,46,6.2,50%,PG,Ron Howard,104 min,"USA, Germany"
14,268,Fast and Furious 6,FAST & FURIOUS 6,2013-05-24,2013,5,267450606,238679850,Action,Universal,25,10 wins & 22 nominations.,61,7.1,70%,PG-13,Justin Lin,130 min,"USA, Japan, Spain, UK"
15,276,Mr. and Mrs. Smith,MR & MRS SMITH,2005-06-10,2005,6,264824256,186336279,Action,20th Century Fox,25,9 wins & 18 nominations.,55,6.5,60%,PG-13,Doug Liman,120 min,USA
