,index,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
0,550,The Dream is Alive,tt0089050,1985-06-30,1985,6,179633795,70000000,Documentary,IMAX Films,23,N/A,N/A,7.6,,Not Rated,Graeme Ferguson,37 min,"USA, Canada"
1,785,Grand Canyon: The Hidden Secrets,tt0087355,1984-06-16,1984,6,143157136,52800000,Documentary,,23,N/A,N/A,6.7,,N/A,Kieth Merrill,35 min,USA
2,839,The Living Sea,tt0113676,1995-02-01,1995,2,135707580,64800000,Documentary,IMAX Films,24,N/A,N/A,7.2,,Not Rated,Greg MacGillivray,40 min,USA
3,976,To the Limit,tt0098484,1989-11-15,1989,11,121010025,53000000,Documentary,,23,N/A,N/A,7.0,,NOT RATED,"Mike Hoover, Greg MacGillivray, Derek Hart(co-director)",35 min,USA
4,1026,AVP: Alien Vs. Predator,tt0370263,2004-08-13,2004,8,117771456,80281096,Horror,20th Century Fox,25,2 wins & 4 nominations.,29,5.6,21%,PG-13,Paul W.S. Anderson,101 min,"USA, UK, Czech Republic, Canada, Germany"
5,1500,In Search of Historic Jesus,tt0080919,1980-01-01,1980,1,74505570,22000000,,Sunn Classics Pictures,22,N/A,N/A,4.7,,G,Henning Schellerup,91 min,USA
6,1524,Spring Break,tt0086352,1983-03-25,1983,3,69616780,24071666,Comedy,Sony Pictures,23,N/A,17,5.0,22%,R,Sean S. Cunningham,102 min,USA
7,1560,The Beach Girls,tt0083628,1982-03-26,1982,3,63270462,20418789,Comedy,Crown,23,N/A,N/A,5.0,,R,Bud Townsend,91 min,USA
8,1573,Windwalker,tt0081760,1980-01-01,1980,1,60959100,18000000,,Pacific International,22,1 win.,N/A,7.0,,PG,Kieth Merrill,108 min,USA
9,1585,The Care Bears Movie,tt0088885,1985-03-29,1985,3,58853160,22934000,Adventure,Samuel Goldwyn Films,23,1 win & 2 nominations.,N/A,5.6,,G,Arna Selznick,77 min,"Canada, USA"
10,1591,Rough Cut,tt0081439,1980-06-19,1980,6,56407917,16656125,,Paramount Pictures,22,N/A,58,5.7,58/100,PG,"Don Siegel, Peter R. Hunt, Robert Ellis Miller",112 min,USA
