,Unnamed: 0,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country,index
0,0,Titanic,Titanic,1997-12-19,1997,12,1240601558,659363944,Thriller/Suspense,Paramount Pictures,24,Won 11 Oscars. Another 113 wins & 83 nominations.,75.0,7.8,89%,PG-13,James Cameron,194 min,"USA, Mexico, Australia, Canada",
1,1,ET: The Extra-Terrestrial,ET The Extra-Terrestrial,1982-06-11,1982,6,1224582698,435110554,Drama,Universal,23,Won 4 Oscars. Another 48 wins & 35 nominations.,91.0,7.8,98%,PG,Steven Spielberg,115 min,USA,
2,2,Star Wars Ep. VII: The Force Awakens,Star Wars Episode VII The Force Awakens,2015-12-18,2015,12,1006872847,936662225,Adventure,Walt Disney,25,Nominated for 5 Oscars. Another 62 wins & 126 nominations.,80.0,7.9,93%,PG-13,J.J. Abrams,138 min,USA,
3,3,Avatar,Avatar,2009-12-18,2009,12,899243135,760507625,Action,20th Century Fox,25,Won 3 Oscars. Another 86 wins & 129 nominations.,83.0,7.8,82%,PG-13,James Cameron,162 min,USA,
4,4,Star Wars Ep. V: The Empire Strikes Back,Star Wars Episode V The Empire Strikes Back,1980-05-21,1980,5,880005730,290271960,Adventure,20th Century Fox,22,Won 1 Oscar. Another 24 wins & 20 nominations.,82.0,8.7,94%,PG,Irvin Kershner,124 min,USA,
5,5,Avengers: Endgame,Avengers Endgame,2019-04-26,2019,4,858373000,858373000,Action,Walt Disney,25,Nominated for 1 Oscar. Another 65 wins & 103 nominations.,78.0,8.4,94%,PG-13,"Anthony Russo, Joe Russo",181 min,USA,
6,6,Star Wars Ep. VI: Return of the Jedi,Star Wars Episode VI Return of the Jedi,1983-05-25,1983,5,847248129,309205079,Adventure,20th Century Fox,23,Nominated for 4 Oscars. Another 22 wins & 16 nominations.,58.0,8.3,82%,PG,Richard Marquand,131 min,USA,
7,7,Jurassic Park,Jurassic Park,1993-06-11,1993,6,836866856,402523348,Action,Universal,23,Won 3 Oscars. Another 39 wins & 27 nominations.,68.0,8.1,91%,PG-13,Steven Spielberg,127 min,USA,
8,8,The Lion King,The Lion King,1994-06-15,1994,6,827550405,421785283,Adventure,Walt Disney,23,Won 2 Oscars. Another 35 wins & 34 nominations.,88.0,8.5,93%,G,"Roger Allers, Rob Minkoff",88 min,USA,
9,9,Star Wars Ep. I: The Phantom Menace,Star Wars Episode I The Phantom Menace,1999-05-19,1999,5,822741783,474544677,Adventure,20th Century Fox,23,Nominated for 3 Oscars. Another 26 wins & 65 nominations.,51.0,6.5,53%,PG,George Lucas,136 min,USA,
10,10,Forrest Gump,Forrest Gump,1994-07-06,1994,7,732264606,330151138,Drama,Paramount Pictures,23,Won 6 Oscars. Another 44 wins & 74 nominations.,82.0,8.8,71%,PG-13,Robert Zemeckis,142 min,USA,
11,11,Raiders of the Lost Ark,Raiders of the Lost Ark,1981-06-12,1981,6,723248603,225686079,Adventure,Paramount Pictures,23,Won 4 Oscars. Another 31 wins & 24 nominations.,85.0,8.4,95%,PG,Steven Spielberg,115 min,USA,
12,12,The Avengers,The Avengers,2012-05-04,2012,5,713415897,623357910,Action,Walt Disney,25,Nominated for 1 Oscar. Another 38 wins & 79 nominations.,69.0,8.0,92%,PG-13,Joss Whedon,143 min,USA,
13,13,Jurassic World,Jurassic World,2015-06-12,2015,6,704885576,652270625,Action,Universal,25,15 wins & 57 nominations.,59.0,7.0,70%,PG-13,Colin Trevorrow,124 min,USA,
