,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
0,Titanic,1997-12-19,1997,12,1240601558,659363944,Thriller/Suspense,Paramount Pictures,24
1,ET: The Extra-Terrestrial,1982-06-11,1982,6,1224582698,435110554,Drama,Universal,23
2,Star Wars Ep. VII: The Force Awakens,2015-12-18,2015,12,1006872847,936662225,Adventure,Walt Disney,25
3,Avatar,2009-12-18,2009,12,899243135,760507625,Action,20th Century Fox,25
4,Star Wars Ep. V: The Empire Strikes Back,1980-05-21,1980,5,880005730,290271960,Adventure,20th Century Fox,22
5,Avengers: Endgame,2019-04-26,2019,4,858373000,858373000,Action,Walt Disney,25
6,Star Wars Ep. VI: Return of the Jedi,1983-05-25,1983,5,847248129,309205079,Adventure,20th Century Fox,23
7,Jurassic Park,1993-06-11,1993,6,836866856,402523348,Action,Universal,23
8,The Lion King,1994-06-15,1994,6,827550405,421785283,Adventure,Walt Disney,23
9,Star Wars Ep. I: The Phantom Menace,1999-05-19,1999,5,822741783,474544677,Adventure,20th Century Fox,23
10,Forrest Gump,1994-07-06,1994,7,732264606,330151138,Drama,Paramount Pictures,23
11,Raiders of the Lost Ark,1981-06-12,1981,6,723248603,225686079,Adventure,Paramount Pictures,23
12,The Avengers,2012-05-04,2012,5,713415897,623357910,Action,Walt Disney,25
13,Jurassic World,2015-06-12,2015,6,704885576,652270625,Action,Universal,25
14,Black Panther,2018-02-16,2018,2,700059566,700059566,Action,Walt Disney,25
15,Avengers: Infinity War,2018-04-27,2018,4,678815482,678815482,Action,Walt Disney,25
16,The Dark Knight,2008-07-18,2008,7,676582901,533720947,Action,Warner Bros.,25
17,Shrek 2,2004-05-19,2004,5,647273927,441226247,Adventure,Dreamworks SKG,25
18,Spider-Man,2002-05-03,2002,5,633006036,403706375,Adventure,Sony Pictures,25
19,Independence Day,1996-07-02,1996,7,631041155,306169255,Adventure,20th Century Fox,24
20,Star Wars Ep. VIII: The Last Jedi,2017-12-15,2017,12,628253896,620181382,Adventure,Walt Disney,25
21,Ghostbusters,1984-06-08,1984,6,622621802,242212467,Comedy,Sony Pictures,23
22,Beverly Hills Cop,1984-12-05,1984,12,617514964,234760478,Comedy,Paramount Pictures,23
23,Home Alone,1990-11-16,1990,11,617450073,285761243,Comedy,20th Century Fox,23
24,Incredibles 2,2018-06-15,2018,6,608581744,608581744,Adventure,Walt Disney,25
25,Pirates of the Caribbean: Dead Man’…,2006-07-07,2006,7,588764432,423315812,Adventure,Walt Disney,25
26,Batman,1989-06-23,1989,6,573516561,251188924,Action,Warner Bros.,23
27,The Lord of the Rings: The Return of …,2003-12-17,2003,12,566753142,377845905,Adventure,New Line,25
28,Finding Nemo,2003-05-30,2003,5,559944647,380529370,Adventure,Walt Disney,25
29,Rogue One: A Star Wars Story,2016-12-16,2016,12,556450789,532177324,Adventure,Walt Disney,25
30,Spider-Man 2,2004-06-30,2004,6,547956206,373524485,Adventure,Sony Pictures,25
31,The Passion of the Christ,2004-02-25,2004,2,543911111,370782930,Drama,Newmarket Films,25
32,The Lion King,2019-07-19,2019,7,543638047,543638043,Adventure,Walt Disney,25
33,Star Wars Ep. III: Revenge of the Sith,2005-05-19,2005,5,540446942,380270577,Adventure,20th Century Fox,25
34,The Lord of the Rings: The Two Towers,2002-12-18,2002,12,532244571,342548984,Adventure,New Line,25
35,Back to the Future,1985-07-03,1985,7,525911691,212259762,Adventure,Universal,23
36,The Sixth Sense,1999-08-06,1999,8,524581166,293506292,Thriller/Suspense,Walt Disney,23
37,Tootsie,1982-12-17,1982,12,520922135,177200000,Comedy,Sony Pictures,23
38,Star Wars: The Rise of Skywalker,2019-12-20,2019,12,515202542,515202542,Adventure,Walt Disney,25
39,The Dark Knight Rises,2012-07-20,2012,7,512882806,448139099,Action,Warner Bros.,25
40,Finding Dory,2016-06-17,2016,6,512156365,486295561,Adventure,Walt Disney,25
