Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
18-Jun-10,18-Jun-10,2010,2010,Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","4,028","4,028","33,699","$110,307,189 ","$415,004,880 ","$479,175,469 ","$653,874,642 ","$1,068,879,522 "
15-Jul-11,13-Jul-11,2011,2011,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000 ","4,375","4,375","26,153","$169,189,427 ","$381,193,157 ","$437,706,448 ","$960,460,560 ","$1,341,653,717 "
29-Jun-11,29-Jun-11,2011,2011,Transformers: Dark of the Moon,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,"$195,000,000 ","4,088","4,107","23,342","$97,852,865 ","$352,390,543 ","$404,826,964 ","$771,403,536 ","$1,123,794,079 "
5-Mar-10,5-Mar-10,2010,2010,Alice in Wonderland,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$200,000,000 ","3,728","3,739","27,013","$116,101,023 ","$334,191,110 ","$385,865,775 ","$691,300,000 ","$1,025,491,110 "
7-May-10,7-May-10,2010,2010,Iron Man 2,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$170,000,000 ","4,380","4,390","27,079","$128,122,480 ","$312,433,331 ","$360,743,683 ","$308,723,058 ","$621,156,389 "
30-Jun-10,30-Jun-10,2010,2010,The Twilight Saga: Eclipse,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$68,000,000 ","4,468","4,468","24,760","$64,832,191 ","$300,531,751 ","$347,001,804 ","$405,571,077 ","$706,102,828 "
19-Nov-10,18-Nov-10,2010,2010,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000 ","4,125","4,125","27,887","$125,017,372 ","$296,131,568 ","$341,677,546 ","$664,297,789 ","$960,429,357 "
16-Jul-10,16-Jul-10,2010,2010,Inception,Warner Bros.,Thriller/Suspense,Original Screenplay,Animation/Live Action,Science Fiction,"$160,000,000 ","3,792","3,792","31,053","$62,785,337 ","$292,576,195 ","$337,816,073 ","$539,975,766 ","$832,551,961 "
18-Nov-11,18-Nov-11,2011,2011,"The Twilight Saga: Breaking Dawn, Part 1",Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$127,500,000 ","4,061","4,066","24,750","$138,122,261 ","$281,287,133 ","$323,118,299 ","$408,132,918 ","$689,420,051 "
26-May-11,26-May-11,2011,2011,The Hangover Part II,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,615","3,675","21,605","$85,946,294 ","$254,464,305 ","$292,329,105 ","$332,000,000 ","$586,464,305 "
9-Jul-10,9-Jul-10,2010,2010,Despicable Me,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$69,000,000 ","3,476","3,602","33,507","$56,397,125 ","$251,513,985 ","$290,402,804 ","$291,950,588 ","$543,464,573 "
20-May-11,20-May-11,2011,2011,Pirates of the Caribbean: On Stranger…,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Fantasy,"$379,000,000 ","4,155","4,164","25,026","$90,151,958 ","$241,063,875 ","$276,934,662 ","$804,600,000 ","$1,045,663,875 "
21-May-10,21-May-10,2010,2010,Shrek Forever After,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$165,000,000 ","4,359","4,386","25,897","$70,838,207 ","$238,736,787 ","$275,651,728 ","$517,507,886 ","$756,244,673 "
26-Mar-10,26-Mar-10,2010,2010,How to Train Your Dragon,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,"$165,000,000 ","4,055","4,060","33,192","$43,732,319 ","$217,581,232 ","$251,224,967 ","$277,289,760 ","$494,870,992 "
29-Apr-11,29-Apr-11,2011,2011,Fast Five,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$125,000,000 ","3,644","3,793","23,595","$86,198,765 ","$210,031,325 ","$241,284,408 ","$420,132,129 ","$630,163,454 "
16-Dec-11,14-Dec-11,2011,2011,Mission: Impossible—Ghost Protocol,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$145,000,000 ",425,"3,555","21,418","$12,785,204 ","$209,397,903 ","$240,261,401 ","$485,315,327 ","$694,713,230 "
24-Nov-10,24-Nov-10,2010,2010,Tangled,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,"$260,000,000 ","3,603","3,603","32,392","$48,767,052 ","$200,821,936 ","$231,682,049 ","$384,905,155 ","$585,727,091 "
24-Jun-11,23-Jun-11,2011,2011,Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","4,115","4,115","25,790","$66,135,507 ","$191,450,875 ","$219,939,150 ","$368,704,508 ","$560,155,383 "
16-Dec-11,16-Dec-11,2011,2011,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$125,000,000 ","3,703","3,703","24,480","$39,637,079 ","$186,848,418 ","$214,435,626 ","$348,815,025 ","$535,663,443 "
6-May-11,29-Apr-11,2011,2011,Thor,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$150,000,000 ","3,955","3,963","22,538","$65,723,338 ","$181,030,624 ","$207,968,346 ","$268,295,994 ","$449,326,618 "
5-Aug-11,5-Aug-11,2011,2011,Rise of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,"$93,000,000 ","3,648","3,691","26,276","$54,806,191 ","$176,760,185 ","$203,062,456 ","$294,226,015 ","$470,986,200 "
