Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
"See No Evil, Hear No Evil","See No Evil, Hear No Evil",1989-05-12,1989,5,107082447,46900000,Comedy,Sony Pictures,23,,44.0,6.9,28%,R,Arthur Hiller,103 min,USA
Sharky's Machine,Sharky's Machine,1981-12-18,1981,12,105585738,32984898,Thriller/Suspense,Warner Bros.,23,,58.0,6.4,86%,R,Burt Reynolds,122 min,USA
Under Siege 2: Dark Territory,Under Siege 2 Dark Territory,1995-07-14,1995,7,104763078,50024083,Action,Warner Bros.,24,,52.0,5.5,35%,R,Geoff Murphy,100 min,USA
Brewster's Millions,Brewster's Millions,1985-05-22,1985,5,104700838,40800000,Comedy,Universal,23,,37.0,6.5,35%,PG,Walter Hill,102 min,USA
Bachelor Party,Bachelor Party,1984-06-29,1984,6,104211741,38435947,Comedy,20th Century Fox,23,,56.0,6.3,54%,R,Neal Israel,105 min,USA
Hard To Kill,Hard To Kill,1990-02-09,1990,2,102285404,47381386,Action,Warner Bros.,23,,41.0,5.8,38%,R,Bruce Malmuth,96 min,USA
D2: The Mighty Ducks,D2 The Mighty Ducks,1994-03-25,1994,3,101827034,45604206,Comedy,Walt Disney,23,,,6.1,20%,PG,Sam Weisman,106 min,USA
Passenger 57,Passenger 57,1992-11-06,1992,11,96732066,44065653,Action,Warner Bros.,23,,,5.9,24%,R,Kevin Hooks,84 min,USA
Biloxi Blues,Biloxi Blues,1988-03-25,1988,3,95721048,43184798,Comedy,Universal,23,,61.0,6.6,78%,PG-13,Mike Nichols,106 min,USA
"Fort Apache, The Bronx","Fort Apache, The Bronx",1981-01-01,1981,1,95687769,29200000,,20th Century Fox,23,,49.0,6.7,86%,R,Daniel Petrie,125 min,USA
Three Amigos,Three Amigos,1986-12-12,1986,12,95392650,39246734,Comedy,Orion Pictures,23,,52.0,6.5,46%,PG,John Landis,104 min,USA
Fred Claus,Fred Claus,2007-11-09,2007,11,95312473,72006777,Comedy,Warner Bros.,25,,42.0,5.6,20%,PG,David Dobkin,116 min,USA
Young Doctors in Love,Young Doctors in Love,1982-07-16,1982,7,95093706,30688860,Comedy,20th Century Fox,23,,,5.5,29%,R,Garry Marshall,96 min,USA
Marked for Death,Marked for Death,1990-04-18,1990,4,93311653,43224499,Action,20th Century Fox,23,,49.0,6.0,20%,R,Dwight H. Little,93 min,USA
The Money Pit,The Money Pit,1986-03-26,1986,3,92081347,37499651,Comedy,Universal,23,,49.0,6.4,48%,PG,Richard Benjamin,91 min,USA
The Great Outdoors,The Great Outdoors,1988-06-17,1988,6,91887377,41455230,Comedy,Universal,23,,24.0,6.7,40%,PG,Howard Deutch,91 min,USA
K-9,K-9,1989-04-28,1989,4,88723611,38859189,Comedy,Universal,23,,44.0,6.0,22%,PG-13,Rod Daniel,101 min,USA
